Client,Style,Fabric usage,pcs/carton,volume,weight,material
RITEMATE,RM107V2,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM107V2R,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM107V2S,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM107V2RS,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM108V3,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM108V3R,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM109VXR,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM208V2R,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM208V3R,,20,0.041125,10,100% Cotton Twill 130x70 / 32sx32s 150 - 155gsm
RITEMATE,RM73N1R,,5,0.06,11,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM7654R,,12,0.0945,11,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM5071R,,8,0.06,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM123FOF,,21,0.06048,10,100% Cotton 20x10 40x42 155gsm brushed printing check
RITEMATE,3M-8910-50mm,,1000,0.03328,6.8,other
Hutchinson,HUT123FOF,,21,0.06048,10,100% Cotton 20x10 40x42 155gsm brushed printing check
Hutchinson,HUT123FOF-F,,21,0.06048,10,100% Cotton 20x10 40x42 155gsm brushed printing check
RITEMATE,RM123FCF,,21,0.06048,10,100% Cotton 20x10 40x42 155gsm brushed printing check
RITEMATE,RM123QS,,14,0.1575,11,"100% Cotton 20x10 40x42 155gsm brushed printing check, 150gsm Polyfill"
RITEMATE,RM123V,,14,0.0784,11,"100% Cotton 20x10 40x42 155gsm brushed printing check, 150gsm Polyfill"
RITEMATE,RM106DJ,,20,0.06912,20,100% Cotton Twill 7sx6s 72x46 14.50zs (490gsm)
RITEMATE,RM106DJR,,20,0.06912,20,100% Cotton Twill 7sx6s 72x46 14.50zs (490gsm)
RITEMATE,RM112TSD,,20,0.066,17,"98% Cotton / 2% Spandex 450gsm after washing, 78x50/7X10+70D"
RITEMATE,RM1002,,20,0.0528,13,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM1002S,,25,0.0528,11,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM1002R,,20,0.048,14,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM411CP,1.8,15,0.06,15,100% Cotton Canvas Double pre-shrunk canvas 7+7x7 / 180x31 345gsm Silicon wash
RITEMATE,RM411CS,,25,0.0552,12.5,100% Cotton Canvas Double pre-shrunk canvas 7+7x7 / 180x31 345gsm Silicon wash
RITEMATE,RM1004,,20,0.063,15,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM1004R,,20,0.063,15,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM1004RLW,,20,0.063,15,100% COTTON TWILL 20X20 108X56 190gsm
RITEMATE,RM1004S,,25,0.06336,12,100% Cotton Drill 90x46 / 14sx7s in 310gsm
RITEMATE,RM33EWLS,,25,0.0528,10,100% Cotton Drill 90x46 / 14sx7s in 310gsm
